#{"t_start": 1746506379.11345, "env_id": "MergeEnv-v0"}
r,l,t
-7.789929,50,211.554599
-10.740959,50,212.123015
-7.804428,50,212.672537
-10.728267,50,213.221769
-8.722064,50,213.766902
-7.72086,50,214.307676
-8.707954,50,214.859472
-7.955813,50,215.709299
-9.722245,50,216.267155
-8.709213,50,216.808938
-7.872408,50,217.349753
-12.835622,50,217.924776
-7.840004,50,218.468545
-7.76087,50,219.012755
-7.724649,50,219.55882
-7.884243,50,220.098112
-7.721617,50,220.715918
-7.793584,50,221.263697
-9.708545,50,221.809876
-8.703161,50,222.417751
-11.846159,50,222.978488
-11.845228,50,223.526623
-11.723702,50,224.070026
-7.758261,50,224.704382
-7.816665,50,225.247383
-10.724894,50,225.784786
-7.724313,50,226.328356
-11.828048,50,226.874608
-7.830121,50,227.422914
-8.783183,50,227.9705
-7.698406,50,228.514912
-7.698103,50,229.056189
-7.72962,50,229.597963
-7.736873,50,230.144109
-8.724081,50,230.739019
-13.802183,50,231.287453
-7.814936,50,231.830395
-7.810185,50,232.379923
-8.711337,50,233.01518
-13.775836,50,233.660682
-10.72132,50,234.209679
-7.726672,50,234.775172
-7.722892,50,235.32367
-7.827224,50,235.86923
-9.8478,50,236.425182
-9.781491,50,236.978975
-9.733197,50,237.528214
-9.726402,50,238.081701
-7.774542,50,238.637937
-7.721013,50,239.188485
-9.819715,50,239.738765
-8.775808,50,240.298199
-7.70303,50,240.857445
-9.745981,50,241.449915
-11.722864,50,242.016283
-11.694023,50,242.57827
-11.812759,50,243.216328
-7.938451,50,244.146247
-7.738767,50,244.731678
-11.722253,50,245.306437
-12.697398,50,245.876846
-13.847087,50,246.44895
-7.714939,50,247.039235
-7.736093,50,247.634715
-7.709712,50,248.267333
-8.725282,50,248.849152
-7.828111,50,249.441741
-7.731436,50,250.01658
-9.712857,50,250.600889
-11.723432,50,251.192372
-7.718201,50,251.836728
-7.730481,50,252.427216
-7.881477,50,253.018116
-7.698318,50,253.610782
-8.722126,50,254.20566
-15.697365,50,254.861172
-7.862712,50,255.492411
-12.778779,50,256.097438
-7.885301,50,256.718614
-10.694283,50,257.328563
-7.778747,50,257.935512
-7.740542,50,258.55198
-7.834369,50,259.169356
-14.704122,50,259.786434
-8.723467,50,260.39966
-7.720839,50,261.022383
-7.727651,50,261.675476
-7.723031,50,262.317461
-7.730923,50,262.98039
-7.731106,50,263.676338
-7.774543,50,264.311751
-7.714515,50,264.952073
-8.774127,50,265.623182
-10.706539,50,266.327456
-9.762061,50,266.98363
-7.711113,50,267.631281
-7.746599,50,268.306051
-7.816727,50,269.023276
-7.885126,50,269.679358
-8.730873,50,270.34737
-8.724851,50,271.008967
-12.723765,50,271.668294
-7.753861,50,272.366188
-9.70768,50,273.056799
-7.752672,50,273.723575
-14.765578,50,274.398169
-8.730037,50,275.093258
-7.892306,50,276.129976
-7.791919,50,276.913662
-7.720551,50,277.623445
-7.826432,50,278.334645
-9.779392,50,279.023512
-8.748768,50,279.732287
-11.884487,50,280.422679
-8.69408,50,281.118198
-9.788786,50,281.813308
-7.782745,50,282.541362
-8.723141,50,283.260344
-12.780937,50,283.959029
-11.781995,50,284.657415
-10.841778,50,285.373731
-7.817375,50,286.074498
-7.704186,50,286.775696
-7.816073,50,287.626279
-7.734533,50,288.415383
-8.884754,50,289.138765
-7.87649,50,289.848899
-7.708767,50,290.562215
-7.72217,50,291.290681
-11.783716,50,291.998201
-7.714779,50,292.766501
-7.697842,50,293.607836
-8.832409,50,294.331333
-7.884616,50,295.047911
-8.742929,50,295.761644
-8.737754,50,296.484802
-7.784944,50,297.21574
-9.708079,50,298.046064
-8.773806,50,298.785453
