#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
-2.832676,22,294.989022
0.445921,28,295.46862
-0.039003,27,295.934281
0.685501,19,296.287469
-0.051049,24,296.739389
-11.433806,30,297.266381
0.319917,31,297.792873
0.239175,25,298.227143
-0.211409,30,298.738948
0.103457,21,299.107828
-0.870706,21,299.565795
-7.327467,20,300.236697
0.139944,28,300.716346
-8.207357,29,301.212978
0.541898,21,301.588714
0.588186,20,301.945065
0.353631,23,302.345219
0.539722,25,302.774383
-4.746988,23,303.17189
-0.332927,28,303.652772
-1.455734,32,304.19827
-0.082299,32,304.744249
0.625465,25,305.17891
-17.507573,27,305.646105
0.273351,31,306.175868
0.029973,26,306.62439
0.336743,23,307.098499
-7.063484,31,307.675065
0.505205,20,308.040167
0.355725,31,308.593485
-0.008765,27,309.065881
0.209232,26,309.538757
0.625557,19,309.924278
0.241317,23,310.330105
-7.287394,30,310.844912
0.349625,24,311.26387
-14.412023,22,311.653696
0.71108,20,312.005757
0.031382,30,312.522841
0.077023,27,312.984856
0.034254,31,313.520268
0.372185,24,313.940016
0.147331,22,314.329946
0.087665,22,314.717094
0.654342,29,315.213606
-0.117662,25,315.645383
0.223374,28,316.128537
-4.11155,24,316.542426
0.694295,20,316.89212
0.123376,23,317.291591
-0.905395,28,317.769972
0.157869,27,318.304309
0.066816,21,318.688582
0.405416,25,319.125672
-2.599631,20,319.485099
0.060498,23,319.933622
0.085689,31,320.471422
-7.940101,25,320.906884
-14.668502,23,321.307721
0.522384,20,321.662459
-4.783198,27,322.194919
0.284285,28,322.754303
0.154824,20,323.112046
-3.94986,30,323.627056
-21.531942,21,323.997761
-4.937292,21,324.369104
0.170091,24,324.786701
-0.577011,31,325.318528
0.586983,25,325.777822
-6.149346,30,326.290889
-5.153926,29,326.908736
0.231046,25,327.341979
-3.130091,23,327.737881
0.044235,23,328.136506
-13.632918,22,328.523888
-0.103032,22,328.926183
0.69586,22,329.353349
-10.894411,27,329.833374
-0.005797,29,330.466597
0.716431,29,330.984683
0.604465,21,331.410518
-2.757235,21,331.808053
-0.130428,24,332.259316
-0.376377,33,332.882186
0.680283,21,333.26348
0.244332,29,333.767921
-4.723156,22,334.162961
-12.061796,30,334.690065
-12.755349,28,335.184547
-2.837813,26,335.634857
0.19717,20,335.989784
0.33818,22,336.38065
0.280533,31,336.920319
0.53791,21,337.294659
0.11359,31,337.830344
0.415834,29,338.334415
0.255625,29,338.832568
-4.968051,24,339.251141
0.377077,20,339.693596
0.13411,20,340.083847
-4.516687,26,340.640919
-1.23926,27,341.114351
-7.892371,26,341.591911
-11.65542,31,342.139447
0.237852,24,342.56606
0.599701,19,342.911419
0.220478,20,343.275966
-0.360992,23,343.685904
0.322738,24,344.108987
-1.838766,20,344.470604
-6.778082,31,345.007118
-7.5635,50,346.254795
-12.26543,27,346.726094
-14.326185,31,347.26871
-6.393617,30,347.798066
0.106546,30,348.32248
0.325014,30,348.847036
0.209993,25,349.2859
0.368978,27,349.758881
0.385894,30,350.305571
0.360536,25,350.81348
